Query,Last 7 days Clicks,Previous 7 days Clicks,Last 7 days Impressions,Previous 7 days Impressions,Last 7 days CTR,Previous 7 days CTR,Last 7 days Position,Previous 7 days Position
group facetime,5785,481,17715,1129,32.66%,42.60%,1.52,1.09
apple support,2371,2097,25116,22592,9.44%,9.28%,1.68,1.76
facetime group call,2337,156,13039,966,17.92%,16.15%,1.64,2.75
create apple id,2276,2135,18496,13052,12.31%,16.36%,4.19,4.09
apple id,2057,1042,101082,93266,2.03%,1.12%,2.96,3.21
apple id login,2041,2011,11069,7573,18.44%,26.55%,3.95,2.29
forgot apple id password,1589,1225,6795,4836,23.38%,25.33%,2.6,2.29
reset apple id password,1470,1072,5179,3813,28.38%,28.11%,1.23,1.48
facetime multiple people,1149,89,3991,336,28.79%,26.49%,1.89,1.79
apple id reset,1054,678,5580,3778,18.89%,17.95%,2.34,2.2
apple.com/bill sydney,971,952,2525,2524,38.46%,37.72%,1,1.01
apple id forgot password,967,716,3086,2166,31.34%,33.06%,1.87,1.93
facetime,918,213,16404,3047,5.60%,6.99%,3.57,1.49
group facetime call,904,21,3642,176,24.82%,11.93%,2.38,2.33
reset apple id,840,551,2748,1735,30.57%,31.76%,2.01,1.58
multiple facetime,819,19,2150,128,38.09%,14.84%,1.68,2.14
apple pay,745,814,8720,12938,8.54%,6.29%,3.75,4.79
apple support australia,733,664,1382,1272,53.04%,52.20%,1.03,1.04
apple id password reset,730,617,2305,1906,31.67%,32.37%,1.65,1.68
how to screenshot on mac,690,1139,16702,19216,4.13%,5.93%,1,1
change apple id password,690,458,3527,3072,19.56%,14.91%,1.13,1.07
find my iphone,663,841,30167,28631,2.20%,2.94%,6.89,6.2
apple login,661,730,3140,2935,21.05%,24.87%,2.29,2.21
screenshot on mac,646,739,13777,13274,4.69%,5.57%,1.01,1
facetime conference call,631,81,2791,388,22.61%,20.88%,2.28,2.14
itunes,629,461,146838,19601,0.43%,2.35%,9.37,4.33
apple id password,584,461,1884,1438,31%,32.06%,1.33,1.36
screenshot mac,451,394,9068,6597,4.97%,5.97%,1.32,1.04
appleid,442,238,18801,16378,2.35%,1.45%,2.58,3.21
how to unlock iphone,440,242,2747,1518,16.02%,15.94%,1.95,1.89
apple help,439,395,4599,4227,9.55%,9.34%,1.17,1.39
forgot apple id,437,346,1315,1165,33.23%,29.70%,2.67,2.87
how to group facetime,432,42,4701,341,9.19%,12.32%,1.84,3.02
icloud for windows,432,453,907,768,47.63%,58.98%,2.98,2.71
apple repair,413,493,4248,4996,9.72%,9.87%,1.14,1.15
apple contact,407,342,978,880,41.62%,38.86%,1.62,1.64
how to screen record on iphone,378,259,2549,1863,14.83%,13.90%,6.82,4.5
apple password reset,371,279,1319,865,28.13%,32.25%,1.44,1.44
apple support contact,361,230,2078,1586,17.37%,14.50%,3.25,3.2
apple account,356,339,10608,9834,3.36%,3.45%,3.53,3.66
multi facetime,353,31,735,49,48.03%,63.27%,1.18,1.18
mac screenshot,346,321,4016,3393,8.62%,9.46%,1.56,1.27
