Query,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
apple id,9691,7238,90293,43856,10.73%,16.50%,1.81,1.8
apple id login,7452,0,24816,0,30.03%,0%,2.2,0
appleid,7216,0,32417,0,22.26%,0%,2.97,0
apple account,4547,0,11235,0,40.47%,0%,1.01,0
create apple id,4512,0,448256,0,1.01%,0%,2.66,0
apple login,4329,0,15400,0,28.11%,0%,2.44,0
change apple id password,3072,0,13673,0,22.47%,0%,2.52,0
apple id account page,2978,691,108859,307113,2.74%,0.22%,5.64,2.53
Apply for apple id,2737,0,18174,0,15.06%,0%,2.62,0
apple id sign in,2706,0,11636,0,23.26%,0%,2.16,0
my apple id,2387,2449,4593,5043,51.97%,48.56%,1.02,1.01
apple id account,2252,0,6696,0,33.63%,0%,2.14,0
forgot apple id password,2189,1851,17307,8085,12.65%,22.89%,1.16,4.58
forgot apple id,2095,0,10806,0,19.39%,0%,2.17,0
how to change apple id password,1930,0,5294,0,36.46%,0%,1.7,0
apple account login,1872,0,5767,0,32.46%,0%,1.87,0
reset apple id password,1778,97,24406,5872,7.29%,1.65%,3.25,2.18
apple sign in,1697,1707,17043,7817,9.96%,21.84%,1.26,1.32
appleid login,1590,0,34480,0,4.61%,0%,2.12,0
manage apple id,1446,0,6695,0,21.60%,0%,2.38,0
apple id forgot password,1427,491,3731,3927,38.25%,12.50%,1.65,2.79
apple id password,1372,0,12758,0,10.75%,0%,2.14,0
apple id reset,1342,0,4788,0,28.03%,0%,2.39,0
apple id create,1336,0,4320,0,30.93%,0%,2.64,0
how to change apple id,1232,13936,2275,22044,54.15%,63.22%,2.92,1.18
apple id sign up,1224,1022,6472,6652,18.91%,15.36%,3,2.18
apple id password reset,1222,0,23869,0,5.12%,0%,1.91,0
create new apple id,1214,0,70613,0,1.72%,0%,3.17,0
reset apple id,1214,0,2037,0,59.60%,0%,1.03,0
apple id support,1190,62,17061,9944,6.97%,0.62%,4.75,7.86
